CdCommune;LbCommune;StCommune;DateCreationCommune;DateMajCommune;CdComiteBassin;NumCircAdminBassin;CdEuDistrict;CdBassinDCE
Numéro de la commune;Nom de la Commune;StCommune;DateCreationCommune;DateMajCommune;Code du comité de bassin;Numéro de la circonscription de bassin;Code européen du district hydrographique;Code du bassin DCE
"60552";"ROUVILLE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60553";"ROUVILLERS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60554";"ROUVRES-EN-MULTIEN";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60555";"ROUVROY-LES-MERLES";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60556";"ROYAUCOURT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60557";"ROY-BOISSY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60558";"ROYE-SUR-MATZ";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60559";"LA RUE-SAINT-PIERRE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60560";"RULLY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60561";"RUSSY-BÉMONT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60562";"SACY-LE-GRAND";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60563";"SACY-LE-PETIT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60564";"SAINS-MORAINVILLERS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60565";"SAINT-ANDRÉ-FARIVILLERS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60566";"SAINT-ARNOULT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60567";"SAINT-AUBIN-EN-BRAY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60568";"SAINT-AUBIN-SOUS-ERQUERY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60569";"SAINT-CRÉPIN-AUX-BOIS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60570";"SAINT-CRÉPIN-IBOUVILLERS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
